Date,Open,High,Low,Close,Adj Close,Volume
2021-05-10,82300.000000,83500.000000,81800.000000,83200.000000,82441.359375,19385027
2021-05-11,82500.000000,82600.000000,81100.000000,81200.000000,80459.601563,28996680
2021-05-12,80800.000000,81200.000000,79800.000000,80000.000000,79270.539063,35812268
2021-05-13,78900.000000,79600.000000,78400.000000,78500.000000,77784.210938,31490096
2021-05-14,79000.000000,80300.000000,78900.000000,80100.000000,79369.625000,16450920
2021-05-17,80800.000000,80900.000000,79200.000000,79600.000000,78874.187500,17740855
2021-05-18,79600.000000,80000.000000,79100.000000,79600.000000,78874.187500,17494407
2021-05-20,79400.000000,79700.000000,79100.000000,79500.000000,78775.101563,16541828
2021-05-21,80100.000000,81500.000000,79800.000000,80100.000000,79369.625000,20961714
2021-05-24,80100.000000,80400.000000,79500.000000,79700.000000,78973.273438,13398666
2021-05-25,80000.000000,80400.000000,79800.000000,79900.000000,79171.445313,13628942
2021-05-26,80400.000000,80500.000000,79700.000000,79800.000000,79072.367188,11984359
2021-05-27,80000.000000,80000.000000,79100.000000,79600.000000,78874.187500,23198510
2021-05-28,79800.000000,80400.000000,79400.000000,80100.000000,79369.625000,12360199
2021-05-31,80300.000000,80600.000000,79600.000000,80500.000000,79765.984375,13321324
2021-06-01,80500.000000,81300.000000,80100.000000,80600.000000,79865.062500,14058401
2021-06-02,80400.000000,81400.000000,80300.000000,80800.000000,80063.250000,16414644
2021-06-03,81300.000000,83000.000000,81100.000000,82800.000000,82045.007813,29546007
2021-06-04,82700.000000,82700.000000,81500.000000,82200.000000,81450.484375,18112259
2021-06-07,82700.000000,82800.000000,81600.000000,81900.000000,81153.210938,16496197
2021-06-08,82300.000000,82600.000000,81800.000000,81900.000000,81153.210938,12781226
2021-06-09,81500.000000,82000.000000,81100.000000,81100.000000,80360.507813,14908823
2021-06-10,81300.000000,81400.000000,80900.000000,81000.000000,80261.421875,17586995
2021-06-11,81200.000000,81700.000000,80700.000000,81000.000000,80261.421875,14087962
2021-06-14,80800.000000,80900.000000,80500.000000,80500.000000,79765.984375,10550078
2021-06-15,80900.000000,81200.000000,80600.000000,80900.000000,80162.328125,10075685
2021-06-16,81500.000000,81900.000000,81100.000000,81800.000000,81054.125000,14999855
2021-06-17,81100.000000,81300.000000,80700.000000,80900.000000,80162.328125,14007385
2021-06-18,81100.000000,81100.000000,80500.000000,80500.000000,79765.984375,14916721
2021-06-21,79700.000000,80000.000000,79600.000000,79900.000000,79171.445313,16063340
2021-06-22,80200.000000,80300.000000,79900.000000,80000.000000,79270.539063,11773365
2021-06-23,80500.000000,80600.000000,79900.000000,80100.000000,79369.625000,13856548
2021-06-24,80400.000000,81400.000000,80100.000000,81200.000000,80459.601563,18771080
